id,mapping_id:id,parent_id:id,sequence,name,source,value,format,condition_domain,condition,repeat_provider,is_list,batch_detail
wsfe_cae_FeCAEReq,wsfe_cae_request,,10,FeCAEReq,child,,,,,,,
wsfe_last_PtoVta,wsfe_last_invoice,,10,PtoVta,field,l10n_ar_afip_pos_number,int,,,,,
wsfe_last_CbteTipo,wsfe_last_invoice,,20,CbteTipo,extra,document_type_code,int,,,,,
wsfe_rate_MonId,wsfe_currency_rate,,10,MonId,extra,currency_code,str,,,,,
wsfe_cae_FeCabReq,wsfe_cae_request,wsfe_cae_FeCAEReq,10,FeCabReq,child,,,,,,,
wsfe_cae_CantReg,wsfe_cae_request,wsfe_cae_FeCabReq,10,CantReg,provider,batch_count,int,,,,,
wsfe_cae_PtoVta,wsfe_cae_request,wsfe_cae_FeCabReq,20,PtoVta,field,journal_id.l10n_ar_afip_pos_number,int,,,,,
wsfe_cae_CbteTipo,wsfe_cae_request,wsfe_cae_FeCabReq,30,CbteTipo,field,l10n_latam_document_type_id.code,int,,,,,
wsfe_cae_FeDetReq,wsfe_cae_request,wsfe_cae_FeCAEReq,20,FeDetReq,child,,,,,,,
wsfe_cae_det,wsfe_cae_request,wsfe_cae_FeDetReq,10,FECAEDetRequest,child,,,,,,1,1
wsfe_cae_Concepto,wsfe_cae_request,wsfe_cae_det,10,Concepto,field,l10n_ar_afip_concept,int,,,,,
wsfe_cae_DocTipo,wsfe_cae_request,wsfe_cae_det,20,DocTipo,provider,document_code,int,,,,,
wsfe_cae_DocNro,wsfe_cae_request,wsfe_cae_det,30,DocNro,provider,document_number,int,,,,,
wsfe_cae_CbteDesde,wsfe_cae_request,wsfe_cae_det,40,CbteDesde,provider,invoice_number,int,,,,,
wsfe_cae_CbteHasta,wsfe_cae_request,wsfe_cae_det,50,CbteHasta,provider,invoice_number,int,,,,,
wsfe_cae_CbteFch,wsfe_cae_request,wsfe_cae_det,60,CbteFch,field,invoice_date,date,,,,,
wsfe_cae_ImpTotal,wsfe_cae_request,wsfe_cae_det,70,ImpTotal,field,amount_total,float2,,,,,
wsfe_cae_ImpTotConc,wsfe_cae_request,wsfe_cae_det,80,ImpTotConc,provider,amounts.vat_untaxed_base_amount,float2,,,,,
wsfe_cae_ImpNeto_c,wsfe_cae_request,wsfe_cae_det,90,ImpNeto,field,amount_untaxed,float2,"[('l10n_latam_document_type_id.l10n_ar_letter','=','C')]",,,,
wsfe_cae_ImpNeto,wsfe_cae_request,wsfe_cae_det,91,ImpNeto,provider,amounts.vat_taxable_amount,float2,"[('l10n_latam_document_type_id.l10n_ar_letter','!=','C')]",,,,
wsfe_cae_ImpOpEx,wsfe_cae_request,wsfe_cae_det,100,ImpOpEx,provider,amounts.vat_exempt_base_amount,float2,,,,,
wsfe_cae_ImpTrib,wsfe_cae_request,wsfe_cae_det,110,ImpTrib,provider,amounts.not_vat_taxes_amount,float2,,,,,
wsfe_cae_ImpIVA,wsfe_cae_request,wsfe_cae_det,120,ImpIVA,provider,amounts.vat_amount,float2,,,,,
wsfe_cae_FchServDesde,wsfe_cae_request,wsfe_cae_det,130,FchServDesde,field,l10n_ar_afip_service_start,date,"[('l10n_ar_afip_concept','!=','1')]",,,,
wsfe_cae_FchServHasta,wsfe_cae_request,wsfe_cae_det,140,FchServHasta,field,l10n_ar_afip_service_end,date,"[('l10n_ar_afip_concept','!=','1')]",,,,
wsfe_cae_FchVtoPago,wsfe_cae_request,wsfe_cae_det,150,FchVtoPago,provider,due_payment_date,date,,,,,
wsfe_cae_MonId,wsfe_cae_request,wsfe_cae_det,160,MonId,field,currency_id.l10n_ar_afip_code,str,,,,,
wsfe_cae_MonCotiz,wsfe_cae_request,wsfe_cae_det,170,MonCotiz,provider,currency_rate,float6,,record.currency_id.l10n_ar_afip_code != 'PES',,,
wsfe_cae_CanMisMonExt,wsfe_cae_request,wsfe_cae_det,180,CanMisMonExt,field,l10n_ar_fiscal_payment_foreign_currency,str,,record.currency_id.l10n_ar_afip_code != 'PES',,,
wsfe_cae_CondicionIVA,wsfe_cae_request,wsfe_cae_det,190,CondicionIVAReceptorId,field,partner_id.l10n_ar_afip_responsibility_type_id.code,int,,,,,
wsfe_cae_Iva,wsfe_cae_request,wsfe_cae_det,200,Iva,child,,,,,,,
wsfe_cae_AlicIva,wsfe_cae_request,wsfe_cae_Iva,10,AlicIva,child,,,,,vat_items,,
wsfe_cae_AlicIva_Id,wsfe_cae_request,wsfe_cae_AlicIva,10,Id,field,Id,int,,,,,
wsfe_cae_AlicIva_BaseImp,wsfe_cae_request,wsfe_cae_AlicIva,20,BaseImp,field,BaseImp,float2,,,,,
wsfe_cae_AlicIva_Importe,wsfe_cae_request,wsfe_cae_AlicIva,30,Importe,field,Importe,float2,,,,,
wsfe_cae_Tributos,wsfe_cae_request,wsfe_cae_det,210,Tributos,child,,,,,,,
wsfe_cae_Tributo,wsfe_cae_request,wsfe_cae_Tributos,10,Tributo,child,,,,,tributes,,
wsfe_cae_Tributo_Id,wsfe_cae_request,wsfe_cae_Tributo,10,Id,field,Id,int,,,,,
wsfe_cae_Tributo_BaseImp,wsfe_cae_request,wsfe_cae_Tributo,20,BaseImp,field,BaseImp,float2,,,,,
wsfe_cae_Tributo_Alic,wsfe_cae_request,wsfe_cae_Tributo,30,Alic,field,Alic,float2,,,,,
wsfe_cae_Tributo_Importe,wsfe_cae_request,wsfe_cae_Tributo,40,Importe,field,Importe,float2,,,,,
wsfe_cae_CbtesAsoc,wsfe_cae_request,wsfe_cae_det,220,CbtesAsoc,child,,,,,,,
wsfe_cae_CbteAsoc,wsfe_cae_request,wsfe_cae_CbtesAsoc,10,CbteAsoc,child,,,,,related_invoices,,
wsfe_cae_CbteAsoc_Tipo,wsfe_cae_request,wsfe_cae_CbteAsoc,10,Tipo,field,Tipo,int,,,,,
wsfe_cae_CbteAsoc_PtoVta,wsfe_cae_request,wsfe_cae_CbteAsoc,20,PtoVta,field,PtoVta,int,,,,,
wsfe_cae_CbteAsoc_Nro,wsfe_cae_request,wsfe_cae_CbteAsoc,30,Nro,field,Nro,int,,,,,
wsfe_cae_CbteAsoc_Cuit,wsfe_cae_request,wsfe_cae_CbteAsoc,40,Cuit,field,Cuit,str,,,,,
wsfe_cae_CbteAsoc_CbteFch,wsfe_cae_request,wsfe_cae_CbteAsoc,50,CbteFch,field,CbteFch,date,,,,,
wsfe_cae_Opcionales,wsfe_cae_request,wsfe_cae_det,230,Opcionales,child,,,,,,,
wsfe_cae_Opcional,wsfe_cae_request,wsfe_cae_Opcionales,10,Opcional,child,,,,,optionals,,
wsfe_cae_Opcional_Id,wsfe_cae_request,wsfe_cae_Opcional,10,Id,field,Id,int,,,,,
wsfe_cae_Opcional_Valor,wsfe_cae_request,wsfe_cae_Opcional,20,Valor,field,Valor,str,,,,,
wsfe_cae_PeriodoAsoc,wsfe_cae_request,wsfe_cae_det,240,PeriodoAsoc,child,,,"[('l10n_latam_document_type_id.internal_type','in',['credit_note','debit_note'])]",bool(record.l10n_ar_fiscal_period_from) and bool(record.l10n_ar_fiscal_period_to) and not record.reversed_entry_id and not record.debit_origin_id,,,
wsfe_cae_PeriodoAsoc_Desde,wsfe_cae_request,wsfe_cae_PeriodoAsoc,10,FchDesde,field,l10n_ar_fiscal_period_from,date,,,,,
wsfe_cae_PeriodoAsoc_Hasta,wsfe_cae_request,wsfe_cae_PeriodoAsoc,20,FchHasta,field,l10n_ar_fiscal_period_to,date,,,,,
wsfe_res_auth_mode,wsfe_cae_response,,10,l10n_ar_fiscal_auth_mode,fixed,CAE,str,,,,,
wsfe_res_auth_code,wsfe_cae_response,,20,l10n_ar_fiscal_auth_code,field,CAE,str,,,,,
wsfe_res_auth_due,wsfe_cae_response,,30,l10n_ar_fiscal_auth_code_due,field,CAEFchVto,date_in,,,,,
wsfe_res_result,wsfe_cae_response,,40,l10n_ar_fiscal_result,field,Resultado,str,,,,,
padron_a5_idPersona,padron_a5_person,,10,idPersona,field,l10n_ar_vat,int,,,,,
wsfecred_cuitConsultada,wsfecred_obliged_amount,,10,cuitConsultada,field,l10n_ar_vat,int,,,,,
wsfecred_fechaEmision,wsfecred_obliged_amount,,20,fechaEmision,extra,date,raw,,,,,
wsfe_lastres_number,wsfe_last_invoice_response,,10,number,field,CbteNro,int,,,,,
wsfex_last_Cbte_Tipo,wsfex_last_invoice,,10,Cbte_Tipo,extra,document_type_code,int,,,,,
wsfex_last_Pto_venta,wsfex_last_invoice,,20,Pto_venta,field,l10n_ar_afip_pos_number,int,,,,,
wsfex_lastres_number,wsfex_last_invoice_response,,10,number,field,FEXResult_LastCMP.Cbte_nro,int,,,,,
wsfex_lastid_number,wsfex_last_id_response,,10,number,field,FEXResultGet.Id,int,,,,,
wsfex_cae_Cmp,wsfex_cae_request,,10,Cmp,child,,,,,,,
wsfex_cae_Id,wsfex_cae_request,wsfex_cae_Cmp,10,Id,provider,request_id,int,,,,,
wsfex_cae_Fecha_cbte,wsfex_cae_request,wsfex_cae_Cmp,20,Fecha_cbte,field,invoice_date,date,,,,,
wsfex_cae_Cbte_Tipo,wsfex_cae_request,wsfex_cae_Cmp,30,Cbte_Tipo,field,l10n_latam_document_type_id.code,int,,,,,
wsfex_cae_Punto_vta,wsfex_cae_request,wsfex_cae_Cmp,40,Punto_vta,field,journal_id.l10n_ar_afip_pos_number,int,,,,,
wsfex_cae_Cbte_nro,wsfex_cae_request,wsfex_cae_Cmp,50,Cbte_nro,provider,invoice_number,int,,,,,
wsfex_cae_Tipo_expo,wsfex_cae_request,wsfex_cae_Cmp,60,Tipo_expo,field,l10n_ar_afip_concept,int,,,,,
wsfex_cae_Permiso,wsfex_cae_request,wsfex_cae_Cmp,70,Permiso_existente,provider,export_permit,str,,,,,
wsfex_cae_Dst_cmp,wsfex_cae_request,wsfex_cae_Cmp,80,Dst_cmp,field,commercial_partner_id.country_id.l10n_ar_afip_code,int,,,,,
wsfex_cae_Cliente,wsfex_cae_request,wsfex_cae_Cmp,90,Cliente,field,commercial_partner_id.name,str,,,,,
wsfex_cae_Cuit_pais,wsfex_cae_request,wsfex_cae_Cmp,100,Cuit_pais_cliente,provider,vat_country,int,,,,,
wsfex_cae_Domicilio,wsfex_cae_request,wsfex_cae_Cmp,110,Domicilio_cliente,provider,customer_address,str,,,,,
wsfex_cae_Id_impositivo,wsfex_cae_request,wsfex_cae_Cmp,120,Id_impositivo,field,commercial_partner_id.vat,str,,,,,
wsfex_cae_Moneda_Id,wsfex_cae_request,wsfex_cae_Cmp,130,Moneda_Id,field,currency_id.l10n_ar_afip_code,str,,,,,
wsfex_cae_Moneda_ctz,wsfex_cae_request,wsfex_cae_Cmp,140,Moneda_ctz,provider,currency_rate,float6,,,,,
